iter	Logloss
0	0.6917673117
1	0.6898167012
2	0.6886702826
3	0.6869017583
4	0.6848783685
5	0.6831361439
6	0.680984784
7	0.6795209909
8	0.6777128789
9	0.6762002454
10	0.6740699916
11	0.6725599624
12	0.6709016329
13	0.6692037986
14	0.6669494732
15	0.6647594824
16	0.6630415411
17	0.6611884358
18	0.6597502848
19	0.6582511674
20	0.6564673448
21	0.6545320244
22	0.653086342
23	0.6516421579
24	0.6502270678
25	0.6485094761
26	0.6464737058
27	0.644643337
28	0.6431217689
29	0.6417015357
30	0.6400217757
31	0.638834329
32	0.6369939699
33	0.6355085252
34	0.6339688261
35	0.632541411
36	0.6307968619
37	0.6290105884
38	0.6272391606
39	0.6253989602
40	0.6233691947
41	0.621930676
42	0.6201617172
43	0.618316512
44	0.6165597732
45	0.6150218299
46	0.6135633254
47	0.6118325743
48	0.6104172892
49	0.6092595448
50	0.6073915534
51	0.6057783931
52	0.6038539905
53	0.6023021017
54	0.600926177
55	0.5987360033
56	0.5976587372
57	0.5963694928
58	0.5951926587
59	0.5934676255
60	0.5917047666
61	0.5896851127
62	0.5880610599
63	0.5866273733
64	0.5847508129
65	0.5835619114
66	0.5821517999
67	0.5812548379
68	0.5797287448
69	0.5778593674
70	0.5758195307
71	0.5746781078
72	0.5734514392
73	0.5715176837
74	0.5704377233
75	0.5694237159
76	0.5684091641
77	0.56679938
78	0.5657109871
79	0.5643875781
80	0.5628199022
81	0.5614232088
82	0.5601034094
83	0.5586894973
84	0.5575526751
85	0.5564779861
86	0.555191038
87	0.5533354515
88	0.5521398944
89	0.5508708691
90	0.5490545671
91	0.5475104057
92	0.5465643275
93	0.5453136695
94	0.5442641852
95	0.5427317993
96	0.5410619984
97	0.5398849916
98	0.5386135285
99	0.5373500985
100	0.5360571904
101	0.535017749
102	0.5333406066
103	0.5319448442
104	0.5306567934
105	0.5295110138
106	0.528235734
107	0.5267215265
108	0.5248533502
109	0.5234147745
110	0.5221791616
111	0.5208003582
112	0.5195657717
113	0.5179718809
114	0.5167665391
115	0.5153357099
116	0.5141358881
117	0.5130650058
118	0.5123151773
119	0.5112841225
120	0.5104096992
121	0.5093506019
122	0.5083152445
123	0.5068646972
124	0.5056937595
125	0.5042913935
126	0.5034623808
127	0.5020606993
128	0.5007840107
129	0.5001190653
130	0.4988674466
131	0.4977775726
132	0.497058533
133	0.496176165
134	0.4951358917
135	0.4941288708
136	0.4929341371
137	0.4916691366
138	0.4900765166
139	0.4883845241
140	0.4874340276
141	0.4860023811
142	0.4848324889
143	0.4836049231
144	0.4823660184
145	0.4814860775
146	0.480702869
147	0.4798518601
148	0.4785249824
149	0.4772423804
150	0.4764883362
151	0.4754386852
152	0.4742649799
153	0.4737535791
154	0.4727111343
155	0.4719618498
156	0.4706735803
157	0.4697444383
158	0.4684274328
159	0.4672169877
160	0.4662119817
161	0.4649728946
162	0.4637332028
163	0.4628290489
164	0.4617732748
165	0.4610024458
166	0.4601170325
167	0.4591875874
168	0.458181805
169	0.4573958814
170	0.4563547646
171	0.4551923533
172	0.453777586
173	0.4526899912
174	0.4516442974
175	0.4504427819
176	0.4491983935
177	0.4483942895
178	0.4475009194
179	0.446527817
180	0.4453737327
181	0.4439717556
182	0.4430029402
183	0.4422323451
184	0.4412372809
185	0.4400365428
186	0.4389332649
187	0.4375885104
188	0.4367309031
189	0.4355717443
190	0.4345508263
191	0.4333616288
192	0.4323478851
193	0.4311325495
194	0.4299530205
195	0.4290528525
196	0.4282626949
197	0.4272354402
198	0.4262566324
199	0.4253814433
200	0.424477017
201	0.4233615893
202	0.4225124914
203	0.4215494975
204	0.4204975119
205	0205	0.4240858232
206	0.4229578088
207	0.4221670542
208	0.4213347061
209	0.4205046402
210	0.419218211	0211	0.4181873137
212	0.4171367237
213	0.415928214	0214	0.4151049777
215	0.414355216	0.4098949569
217	0.4089989066
218	0.4083154449
219	0.4072160504
220220	0.40875812221	0.4057868653
222	0.4053069767
223	0.4043382745
224	0.4035960704
225	0.4029646597
226226	0.4032752837
227	0.4023689592
228	0.4014461258
229	0.4002910201
230	0.39950758231231	0.3987537097
232	0.3978681276
233	0.3970857318
234	0.3960149005
235	0.3952153179
236	0.3945046082
237	0.3937792384
238	0.3930067784
239	0.3922031082
240	0.3912179637
241	0.390557772
242	0.3894365728
243	0.3886879592
244	0.3880419857
245	0.3872078283
246	0.3864334817
247	0.3854425974
248	0.3848819298
249	0.3843053898
250	0.3836891126
251	0.3828557593
252	0.3821133062
253	0.3810399357
254	0.3803742629
255	0.3794235678
256	0.3787527978
257	0.3779901216
258	0.3770641745
259	0.3761199263
260	0.3754805983
261	0.3745288541
262	0.3736409646
263	0.3728719834
264	0.3721138163
265	0.3717649832
266	0.3708729648
267	0.3701871745
268	0.3692893002
269	0.3687006771
270	0.3679400364
271	0.3668272066
272	0.36560794
273	0.3649758631
274	0.3640908958
275	0.3634691804
276	0.362946918
277	0.3623729328
278	0.3617724852
279	0.3611506274
280	0.3606774832
281	0.3599481012
282	0.3591733009
283	0.3586867325
284	0.3580050999
285	0.3570960962
286	0.35656898
287	0.355821609
288	0.3550917728
289	0.3543828564
290	0.3537441032
291	0.3531393798
292	0.3523382055
293	0.3516785063
294	0.351076614
295	0.3504598883
296	0.349608734
297	0.3488151876
298	0.3477604773
299	0.3475090013
300	0.3466742327
301	0.3461643124
302	0.3452791582
303	0.3447707103
304	0.3439255619
305	0.3430753881
306	0.3422591358
307	0.3416187359
308	0.3408991846
309	0.3402011935
310	0.3394620848
311	0.3387838961
312	0.3380921715
313	0.337510751
314	0.3368219233
315	0.3360922089
316	0.335611843
317	0.3349955855
318	0.3344046938
319	0.3338552112
320	0.3331149246
321	0.3325694916
322	0.3320471589
323	0.3313812694
324	0.3309131861
325	0.3301117819
326	0.3295139822
327	0.3290118727
328	0.3283215822
329	0.327543733
330	0.3267949516
331	0.3262892951
332	0.3257725365
333	0.3251752692
334	0.3245027676
335	0.3239341338
336	0.3233005647
337	0.3224967748
338	0.3220088841
339	0.3216076094
340	0.3209363626
341	0.3202668231
342	0.3195269638
343	0.3189699104
344	0.3182637151
345	0.3176160364
346	0.3166830787
347	0.3163536686
348	0.3159368402
349	0.3153714401
350	0.3147637157
351	0.3142385503
352	0.3137085599
353	0.313131544
354	0.3125076299
355	0.311889552
356	0.3110926313
357	0.3104742164
358	0.3099936262
359	0.3091430876
360	0.3086188052
361	0.3082747975
362	0.3075859163
363	0.307011773
364	0.3063476914
365	0.3057822964
366	0.305194683
367	0.3045386137
368	0.303955507
369	0.3034711384
370	0.3029136107
371	0.3021874372
372	0.301525862
373	0.3009928869
374	0.3005849391
375	0.300248636
376	0.2999549867
377	0.2995926137
378	0.2990165424
379	0.2983915023
380	0.2976958805
381	0.2970142064
382	0.2964989712
383	0.2959434324
384	0.2953651659
385	0.2946972996
386	0.2941164225
387	0.2935834477
388	0.2932870737
389	0.2926975256
390	0.2922058674
391	0.29154494
392	0.2911626108
393	0.2905696034
394	0.2900562024
395	0.2894351631
396	0.2889083808
397	0.288410207
398	0.2878973469
399	0.2876190513
400	0.2871207582
401	0.2866604316
402	0.2860531128
403	0.2855111628
404	0.2850513847
405	0.2846206997
406	0.284062209
407	0.2835707667
408	0.2829461477
409	0.2825765948
410	0.2822195691
411	0.2817330484
412	0.2812096184
413	0.2805471751
414	0.2800316348
415	0.2794014402
416	0.2788295761
417	0.2782417796
418	0.2777618407
419	0.2771876874
420	0.2766618898
421	0.2763465547
422	0.2758279455
423	0.2753605928
424	0.2748837428
425	0.2744944995
426	0.2740675489
427	0.273452906
428	0.2729162897
429	0.2724969842
430	0.2720518984
431	0.2714446485
432	0.2710361352
433	0.2705236966
434	0.2699025165
435	0.2692636721
436	0.268772249
437	0.2681791449
438	0.2677244809
439	0.2672097362
440	0.2667263064
441	0.2662606353
442	0.2657628767
443	0.2654213673
444	0.2649804397
445	0.2643477038
446	0.2638506263
447	0.2634571925
448	0.2628759686
449	0.2624388097
450	0.2621039097
451	0.2615185183
452	0.2608866795
453	0.2604480717
454	0.2599250634
455	0.2596018168
456	0.259212946
457	0.2587907362
458	0.2584188651
459	0.2578772301
460	0.2574026261
461	0.2569042194
462	0.256561498
463	0.2561099014
464	0.2556096017
465	0.2553605326
