iter	Passed	Remaining
0	19	19605
1	56	27958
2	62	20720
3	75	18680
4	80	15952
5	85	14239
6	92	13182
7	99	12376
8	107	11889
9	112	11171
10	123	11069
11	132	10914
12	149	11341
13	185	13084
14	194	12759
15	202	12442
16	211	12236
17	216	11828
18	222	11477
19	228	11182
20	240	11188
21	245	10895
22	258	10984
23	266	10817
24	273	10653
25	281	10543
26	326	11778
27	334	11619
28	342	11472
29	352	11413
30	357	11188
31	363	11007
32	379	11110
33	387	10996
34	397	10950
35	401	10757
36	412	10745
37	419	10623
38	427	10536
39	432	10376
40	435	10197
41	496	11317
42	501	11167
43	509	11077
44	521	11072
45	533	11056
46	539	10933
47	547	10863
48	556	10808
49	567	10778
50	575	10710
51	595	10853
52	636	11368
53	644	11294
54	651	11196
55	657	11077
56	666	11028
57	673	10930
58	680	10855
59	687	10768
60	695	10700
61	698	10574
62	705	10493
63	712	10426
64	719	10354
65	724	10252
66	739	10300
67	746	10228
68	755	10190
69	758	10083
70	769	10063
71	775	10001
72	780	9907
73	787	9859
74	803	9908
75	825	10039
76	835	10020
77	842	9963
78	846	9870
79	855	9842
80	861	9779
81	924	10344
82	934	10327
83	944	10302
84	955	10282
85	972	10333
86	988	10376
87	998	10348
88	1018	10422
89	1024	10358
90	1029	10282
91	1033	10201
92	1045	10195
93	1054	10159
94	1057	10072
95	1061	9998
96	1066	9931
97	1076	9909
98	1089	9916
99	1097	9878
100	1102	9816
101	1114	9812
102	1121	9764
103	1160	9996
104	1168	9957
105	1183	9982
106	1193	9963
107	1202	9930
108	1208	9881
109	1220	9873
110	1233	9876
111	1249	9907
112	1256	9860
113	1260	9798
114	1268	9762
115	1277	9732
116	1287	9716
117	1298	9706
118	1306	9671
119	1313	9630
120	1322	9607
121	1329	9565
122	1340	9555
123	1346	9514
124	1358	9506
125	1365	9471
126	1407	9674
127	1412	9621
128	1416	9564
129	1424	9531
130	1428	9477
131	1432	9418
132	1440	9388
133	1447	9356
134	1454	9321
135	1492	9484
136	1547	9748
137	1552	9694
138	1563	9682
139	1573	9663
140	1577	9613
141	1587	9589
142	1599	9583
143	1612	9588
144	1618	9541
145	1623	9498
146	1635	9490
147	1643	9462
148	1647	9412
149	1657	9389
150	1665	9365
151	1673	9333
152	1680	9303
153	1689	9281
154	1694	9238
155	1707	9235
156	1733	9305
157	1746	9309
158	1753	9276
159	1761	9247
160	1767	9211
161	1779	9204
162	1790	9194
163	1805	9202
164	1814	9182
165	1838	9237
166	1844	9200
167	1891	9369
168	1899	9341
169	1911	9331
170	1920	9309
171	1928	9282
172	1937	9263
173	1941	9218
174	1950	9193
175	1957	9163
176	1965	9140
177	1969	9096
178	2006	9204
179	2024	9223
180	2035	9208
181	2048	9208
182	2058	9189
183	2068	9174
184	2080	9163
185	2086	9130
186	2097	9119
187	2107	9100
188	2111	9062
189	2118	9031
190	2123	8993
191	2128	8958
192	2139	8946
193	2147	8923
194	2165	8939
195	2172	8911
196	2198	8962
197	2206	8939
198	2225	8958
199	2232	8929
200	2239	8900
201	2245	8872
202	2253	8848
203	2261	8823
204	2204	2217	8597
205	2224	8574
206	2265	8677
207	2270	8645
208	2277	8620
209	2286	210	2210	2293	8576
211	2300	8550
212	2305	213	2213	2315	8504
214	2339	215	2402	8721
216	2409	8693
217	2414	8659
218	2436	8687
219	2219	2375	220	2460	8671
221	2466	8643
222	2486	8662
223	2494	8640
224	2500	8614
225	2225	2418	8283
226	2424	8254
227	2435	8246
228	2440	8217
229	2449	230	2230	2456	8176
231	2464	8157
232	2476	8152
233	2482	8126
234	2491	8111
235	2496	8083
236	2502	8055
237	2508	8030
238	2513	8004
239	2520	7981
240	2524	7951
241	2561	8023
242	2567	7998
243	2593	8036
244	2613	8055
245	2623	8040
246	2627	8009
247	2641	8010
248	2651	7997
249	2663	7989
250	2666	7957
251	2673	7936
252	2682	7920
253	2697	7921
254	2703	7899
255	2709	7873
256	2716	7852
257	2726	7840
258	2735	7826
259	2744	7811
260	2748	7781
261	2754	7757
262	2763	7745
263	2774	7733
264	2778	7705
265	2786	7689
266	2792	7666
267	2801	7650
268	2806	7627
269	2813	7606
270	2873	7728
271	2886	7726
272	2896	7712
273	2902	7691
274	2911	7675
275	2915	7647
276	2925	7637
277	2934	7620
278	2949	7621
279	2958	7606
280	2962	7578
281	2973	7572
282	2983	7558
283	2986	7529
284	3001	7529
285	3007	7507
286	3027	7521
287	3063	7574
288	3069	7550
289	3076	7532
290	3089	7527
291	3107	7534
292	3117	7521
293	3126	7507
294	3130	7480
295	3149	7490
296	3153	7464
297	3156	7436
298	3160	7409
299	3172	7401
300	3180	7385
301	3186	7364
302	3223	7414
303	3239	7417
304	3248	7401
305	3253	7379
306	3307	7466
307	3314	7446
308	3321	7427
309	3333	7419
310	3340	7401
311	3346	7379
312	3353	7360
313	3360	7340
314	3372	7333
315	3382	7321
316	3391	7307
317	3398	7287
318	3405	7269
319	3416	7259
320	3423	7241
321	3429	7221
322	3438	7206
323	3448	7195
324	3452	7171
325	3463	7160
326	3478	7159
327	3484	7138
328	3496	7131
