,SEASON_ID,POSITION,PERCENT_OF_TIME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,MATCHUP_MIN,PARTIAL_POSS,PLAYER_PTS,TEAM_PTS,MATCHUP_AST,MATCHUP_TOV,MATCHUP_BLK,MATCHUP_FGM,MATCHUP_FGA,MATCHUP_FG_PCT,MATCHUP_FG3M,MATCHUP_FG3A,MATCHUP_FG3_PCT,MATCHUP_FTM,MATCHUP_FTA,SFL
0,22019,TOTAL,1.0,1713,Vince Carter,60,345:26,1804.0,308,1985,51,36,21,108,277,0.39,32,111,0.288,60,76,34
1,22019,F,0.6212939240860558,1713,Vince Carter,59,214:37,1083.6,144,1086,27,21,8,51,127,0.402,16,55,0.291,26,33,15
2,22019,G,0.25746763742334544,1713,Vince Carter,60,88:56,502.8,104,589,21,13,7,35,108,0.324,14,53,0.264,20,26,10
3,22019,C,0.12123843849059882,1713,Vince Carter,59,41:53,217.6,60,310,3,2,6,22,42,0.524,2,3,0.667,14,17,9
4,22019,C,0.03914893617021276,2037,Jamal Crawford,1,0:05,0.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
5,22019,F,0.46297872340425533,2037,Jamal Crawford,1,0:54,5.9,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0
6,22019,TOTAL,1.0,2037,Jamal Crawford,1,1:58,13.5,4,16,0,0,0,1,1,1.0,1,1,1.0,1,2,0
7,22019,G,0.4978723404255319,2037,Jamal Crawford,1,0:59,7.0,4,8,0,0,0,1,1,1.0,1,1,1.0,1,2,0
8,22019,F,0.380218591897424,2199,Tyson Chandler,26,32:49,175.5,47,178,11,10,1,20,41,0.488,1,10,0.1,6,9,5
9,22019,C,0.4556830031282586,2199,Tyson Chandler,20,39:20,204.8,46,187,6,4,0,16,26,0.615,1,7,0.143,13,21,10
10,22019,TOTAL,1.0,2199,Tyson Chandler,26,86:19,470.5,140,507,35,26,2,54,115,0.47,6,34,0.176,26,41,20
11,22019,G,0.16409840497431738,2199,Tyson Chandler,26,14:10,90.2,47,142,18,12,1,18,48,0.375,4,17,0.235,7,11,5
12,22019,TOTAL,1.0,2544,LeBron James,67,922:37,4750.8,646,4824,163,110,25,262,624,0.42,72,233,0.309,50,67,25
13,22019,F,0.530667986574514,2544,LeBron James,67,489:36,2504.5,311,2309,64,51,14,123,296,0.416,36,122,0.295,29,40,15
14,22019,G,0.40907990620946794,2544,LeBron James,67,377:26,1940.5,266,2107,92,51,11,108,275,0.393,36,108,0.333,14,18,8
15,22019,C,0.06025210721601809,2544,LeBron James,63,55:35,305.8,69,408,7,8,0,31,53,0.585,0,3,0.0,7,9,2
16,22019,TOTAL,1.0,2546,Carmelo Anthony,57,720:24,3817.7,729,4353,122,68,22,266,579,0.459,107,272,0.393,90,116,50
17,22019,C,0.10537104043086776,2546,Carmelo Anthony,52,75:55,405.9,62,483,8,10,1,27,45,0.6,2,3,0.667,6,10,4
18,22019,F,0.6660682392352467,2546,Carmelo Anthony,57,479:50,2500.7,409,2660,65,38,17,153,335,0.457,52,146,0.356,51,67,28
19,22019,G,0.2285607203338855,2546,Carmelo Anthony,57,164:39,911.1,258,1210,49,20,4,86,199,0.432,53,123,0.431,33,39,18
20,22019,TOTAL,1.0,2594,Kyle Korver,57,377:19,2035.6,353,2139,70,42,8,135,324,0.417,39,118,0.331,44,60,30
21,22019,G,0.6317791107538185,2594,Kyle Korver,57,238:23,1282.9,189,1276,56,22,5,72,184,0.391,21,76,0.276,24,34,17
