PLAYER_NAME,OPP,PTS,REB,AST,STL,TOV,BLK
Spencer Dinwiddie,PHI,11.5,2.5,5.5,,0.5,
Cam Thomas,PHI,22.5,4.5,2.5,,0.5,
Mikal Bridges,PHI,22.5,,,1.5,,
Cameron Johnson,PHI,13.5,4.5,,,,
Nic Claxton,PHI,12.5,11.5,2.5,,,
Tyrese Maxey,BKN,30.5,3.5,6.5,,,
Tobias Harris,BKN,23.5,6.5,5.5,1.5,1.5,
Kelly Oubre Jr.,BKN,17.5,7.5,,,,0.5
Anthony Davis,NYK,26.5,11.5,,,,
LeBron James,NYK,23.5,9.5,,,,
Jalen Brunson,LAL,32.5,5.5,,,2.5,0.5
Donte DiVincenzo,LAL,20.5,4.5,5.5,,,
Josh Hart,LAL,11.5,11.5,4.5,,1.5,
Damian Lillard,DAL,25.5,,6.5,,2.5,
Isaiah Hartenstein,LAL,,,2.5,,,1.5
Malik Beasley,DAL,9.5,,,0.5,0.5,
Khris Middleton,DAL,15.5,4.5,5.5,,,
Giannis Antetokounmpo,DAL,32.5,,,,3.5,1.5
Brook Lopez,DAL,13.5,,,0.5,,
Luka Doncic,MIL,38.5,9.5,10.5,,,
Josh Green,MIL,11.5,3.5,2.5,,,
Stephen Curry,ATL,27.5,4.5,,,,
Klay Thompson,ATL,19.5,,,,1.5,
Andrew Wiggins,ATL,13.5,,,,,
Draymond Green,ATL,8.5,7.5,,,,
Jonathan Kuminga,ATL,21.5,,,,,
Trae Young,GSW,25.5,4.5,11.5,,,
Dejounte Murray,GSW,22.5,5.5,5.5,,,0.5
Jalen Johnson,GSW,15.5,,,,1.5,
Clint Capela,GSW,11.5,10.5,,0.5,,
Domantas Sabonis,CHI,19.5,13.5,,,,0.5
DeAaron Fox,CHI,24.5,,4.5,,2.5,
Kevin Huerter,CHI,12.5,4.5,4.5,,,
Harrison Barnes,CHI,15.5,,,,,0.5
Keegan Murray,CHI,14.5,5.5,,,,
Nikola Vucevic,CHI,19.5,11.5,3.5,1.5,1.5,1.5
DeMar DeRozan,SAC,25.5,6.5,,,,
Coby White,SAC,23.5,7.5,,1.5,,0.5
Ayo Dosunmu,SAC,15.5,5.5,,,,
Alex Caruso,SAC,12.5,4.5,3.5,1.5,,
Donovan Mitchell,SAS,28.5,,6.5,,,
Max Strus,SAS,9.5,,,,,
Evan Mobley,SAS,10.5,7.5,,0.5,1.5,
Jarrett Allen,SAS,15.5,11.5,2.5,,1.5,
Tre Jones,CLE,11.5,3.5,,,1.5,
Devin Vassell,CLE,22.5,,,,,
Jeremy Sochan,CLE,12.5,6.5,,,,
Victor Wembanyama,CLE,22.5,10.5,3.5,,3.5,
Julian Champagnie,CLE,5.5,,,,,
