PLAYER_NAME,OPP,PTS
Spencer Dinwiddie,PHI,11.5
Cam Thomas,PHI,22.5
Mikal Bridges,PHI,22.5
Cameron Johnson,PHI,13.5
Nic Claxton,PHI,12.5
Tyrese Maxey,BKN,30.5
Tobias Harris,BKN,23.5
Kelly Oubre Jr.,BKN,17.5
Anthony Davis,NYK,26.5
LeBron James,NYK,23.5
Jalen Brunson,LAL,32.5
Donte DiVincenzo,LAL,20.5
Josh Hart,LAL,11.5
Damian Lillard,DAL,25.5
Malik Beasley,DAL,9.5
Khris Middleton,DAL,15.5
Giannis Antetokounmpo,DAL,32.5
Brook Lopez,DAL,13.5
Luka Doncic,MIL,38.5
Josh Green,MIL,11.5
Stephen Curry,ATL,27.5
Klay Thompson,ATL,19.5
Andrew Wiggins,ATL,13.5
Draymond Green,ATL,8.5
Jonathan Kuminga,ATL,21.5
Trae Young,GSW,25.5
Dejounte Murray,GSW,22.5
Jalen Johnson,GSW,15.5
Clint Capela,GSW,11.5
Domantas Sabonis,CHI,19.5
DeAaron Fox,CHI,24.5
Kevin Huerter,CHI,12.5
Harrison Barnes,CHI,15.5
Keegan Murray,CHI,14.5
Nikola Vucevic,CHI,19.5
DeMar DeRozan,SAC,15.5
Coby White,SAC,23.5
Ayo Dosunmu,SAC,15.5
Alex Caruso,SAC,12.5
Donovan Mitchell,SAS,28.5
Max Strus,SAS,9.5
Evan Mobley,SAS,10.5
Jarrett Allen,SAS,15.5
Tre Jones,CLE,11.5
Devin Vassell,CLE,22.5
Jeremy Sochan,CLE,12.5
Victor Wembanyama,CLE,22.5
