,Player,Position,Date,Market Name,Line,Site Less,Site More,Player_Slug,PLAYER_NAME,PLAYER_ID
0,Goga Bitadze,C,2/25/2024,Points,7.5,-125,-134,goga-bitadze,Goga Bitadze,1629048
1,Goga Bitadze,C,2/25/2024,PTS+REB+AST,15.5,-117,-145,goga-bitadze,Goga Bitadze,1629048
2,Draymond Green,F,2/25/2024,PTS+REB+AST,20.5,-118,-143,draymond-green,Draymond Green,203110
3,Draymond Green,F,2/25/2024,3PT Made,0.5,-112,-150,draymond-green,Draymond Green,203110
4,Draymond Green,F,2/25/2024,Rebounds,6.5,-125,-134,draymond-green,Draymond Green,203110
5,Draymond Green,F,2/25/2024,Assists,5.5,-118,-141,draymond-green,Draymond Green,203110
6,Draymond Green,F,2/27/2024,3PT Made,0.5,-132,-129,draymond-green,Draymond Green,203110
7,Draymond Green,F,2/27/2024,PTS+REB+AST,21.5,-132,-129,draymond-green,Draymond Green,203110
8,Draymond Green,F,2/27/2024,Assists,5.5,-130,-129,draymond-green,Draymond Green,203110
9,Draymond Green,F,2/27/2024,Points,8.5,-136,-125,draymond-green,Draymond Green,203110
10,Draymond Green,F,2/27/2024,3PT Made,0.5,-117,-145,draymond-green,Draymond Green,203110
11,Draymond Green,F,2/27/2024,PTS+REB+AST,23.5,-143,-118,draymond-green,Draymond Green,203110
12,Draymond Green,F,2/27/2024,Rebounds,7.5,-132,-129,draymond-green,Draymond Green,203110
13,Draymond Green,F,2/27/2024,Points,9.5,-145,-117,draymond-green,Draymond Green,203110
14,Draymond Green,F,2/29/2024,PTS+REB+AST,20.5,-125,-136,draymond-green,Draymond Green,203110
15,Draymond Green,F,2/29/2024,3PT Made,0.5,-112,-152,draymond-green,Draymond Green,203110
16,Draymond Green,F,2/29/2024,Points,7.5,-115,-148,draymond-green,Draymond Green,203110
17,Draymond Green,F,2/29/2024,Rebounds,6.5,-118,-143,draymond-green,Draymond Green,203110
18,Draymond Green,F,2/29/2024,Assists,5.5,-120,-141,draymond-green,Draymond Green,203110
19,Draymond Green,F,3/1/2024,3PT Made,0.5,-114,-150,draymond-green,Draymond Green,203110
20,Draymond Green,F,3/1/2024,Points,7.5,-120,-141,draymond-green,Draymond Green,203110
21,Draymond Green,F,3/1/2024,PTS+REB+AST,21.5,-145,-117,draymond-green,Draymond Green,203110
22,Draymond Green,F,3/6/2024,PTS+REB+AST,18.5,-114,-148,draymond-green,Draymond Green,203110
23,Draymond Green,F,3/6/2024,Points,6.5,-130,-129,draymond-green,Draymond Green,203110
24,Draymond Green,F,3/6/2024,Assists,4.5,-110,-154,draymond-green,Draymond Green,203110
25,Draymond Green,F,3/6/2024,Turnovers,1.5,-120,-141,draymond-green,Draymond Green,203110
26,Draymond Green,F,3/6/2024,Blocks,0.5,-114,-148,draymond-green,Draymond Green,203110
27,Draymond Green,F,3/6/2024,Steals,0.5,-127,-132,draymond-green,Draymond Green,203110
28,Draymond Green,F,3/7/2024,PTS+REB+AST,19.5,-122,-137,draymond-green,Draymond Green,203110
29,Draymond Green,F,3/7/2024,3PT Made,0.5,-129,-132,draymond-green,Draymond Green,203110
30,Draymond Green,F,3/7/2024,Steals,0.5,-122,-137,draymond-green,Draymond Green,203110
31,Draymond Green,F,3/9/2024,Points,9.5,-134,-125,draymond-green,Draymond Green,203110
32,Draymond Green,F,3/9/2024,PTS+REB+AST,24.5,-143,-118,draymond-green,Draymond Green,203110
33,Draymond Green,F,3/11/2024,3PT Made,0.5,-114,-150,draymond-green,Draymond Green,203110
34,Draymond Green,F,3/11/2024,PTS+REB+AST,22.5,-130,-129,draymond-green,Draymond Green,203110
35,Draymond Green,F,3/11/2024,Points,8.5,-139,-121,draymond-green,Draymond Green,203110
36,Draymond Green,F,3/11/2024,Rebounds,7.5,-112,-152,draymond-green,Draymond Green,203110
37,Draymond Green,F,3/11/2024,Assists,5.5,-112,-152,draymond-green,Draymond Green,203110
38,Draymond Green,F,3/13/2024,PTS+REB+AST,21.5,-139,-121,draymond-green,Draymond Green,203110
39,Draymond Green,F,3/13/2024,Points,7.5,-124,-136,draymond-green,Draymond Green,203110
40,Draymond Green,F,3/13/2024,Rebounds,7.5,-152,-112,draymond-green,Draymond Green,203110
41,Draymond Green,F,3/16/2024,Points,6.5,-125,-136,draymond-green,Draymond Green,203110
42,Draymond Green,F,3/16/2024,PTS+REB+AST,18.5,-132,-129,draymond-green,Draymond Green,203110
43,Draymond Green,F,4/2/2024,PTS+REB+AST,21.5,-122,-137,draymond-green,Draymond Green,203110
44,Draymond Green,F,4/2/2024,Points,7.5,-130,-130,draymond-green,Draymond Green,203110
45,Draymond Green,F,4/2/2024,Rebounds,7.5,-117,-143,draymond-green,Draymond Green,203110
46,Draymond Green,F,4/2/2024,Assists,5.5,-113,-150,draymond-green,Draymond Green,203110
47,Draymond Green,F,4/2/2024,Blocks,0.5,-143,-118,draymond-green,Draymond Green,203110
48,Herbert Jones,F,2/25/2024,PTS+REB+AST,18.5,-118,-143,herbert-jones,Herbert Jones,1630529
49,Herbert Jones,F,2/25/2024,Points,11.5,-114,-148,herbert-jones,Herbert Jones,1630529
50,Herbert Jones,F,2/25/2024,3PT Made,1.5,-125,-136,herbert-jones,Herbert Jones,1630529
51,Herbert Jones,F,2/27/2024,PTS+REB+AST,17.5,-117,-143,herbert-jones,Herbert Jones,1630529
52,Herbert Jones,F,2/27/2024,Points,11.5,-150,-113,herbert-jones,Herbert Jones,1630529
53,Herbert Jones,F,2/27/2024,3PT Made,1.5,-145,-115,herbert-jones,Herbert Jones,1630529
54,Herbert Jones,F,2/27/2024,Assists,2.5,-148,-114,herbert-jones,Herbert Jones,1630529
55,Herbert Jones,F,3/1/2024,Points,11.5,-120,-141,herbert-jones,Herbert Jones,1630529
56,Herbert Jones,F,3/1/2024,PTS+REB+AST,18.5,-145,-117,herbert-jones,Herbert Jones,1630529
57,Herbert Jones,F,3/5/2024,PTS+REB+AST,16.5,-125,-136,herbert-jones,Herbert Jones,1630529
58,Herbert Jones,F,3/5/2024,Points,10.5,-125,-134,herbert-jones,Herbert Jones,1630529
59,Herbert Jones,F,3/5/2024,Rebounds,3.5,-115,-145,herbert-jones,Herbert Jones,1630529
60,Herbert Jones,F,3/8/2024,Points,10.5,-113,-150,herbert-jones,Herbert Jones,1630529
61,Herbert Jones,F,3/8/2024,PTS+REB+AST,16.5,-122,-139,herbert-jones,Herbert Jones,1630529
62,Herbert Jones,F,3/8/2024,Rebounds,3.5,-127,-134,herbert-jones,Herbert Jones,1630529
63,Herbert Jones,F,3/8/2024,3PT Made,1.5,-141,-120,herbert-jones,Herbert Jones,1630529
64,Herbert Jones,F,3/10/2024,Points,9.5,-106,-162,herbert-jones,Herbert Jones,1630529
65,Herbert Jones,F,3/10/2024,PTS+REB+AST,15.5,-127,-134,herbert-jones,Herbert Jones,1630529
66,Herbert Jones,F,3/10/2024,3PT Made,1.5,-148,-114,herbert-jones,Herbert Jones,1630529
67,Herbert Jones,F,3/13/2024,PTS+REB+AST,15.5,-130,-129,herbert-jones,Herbert Jones,1630529
68,Herbert Jones,F,3/13/2024,Points,9.5,-127,-132,herbert-jones,Herbert Jones,1630529
69,Herbert Jones,F,3/13/2024,Rebounds,3.5,-134,-125,herbert-jones,Herbert Jones,1630529
70,Herbert Jones,F,3/15/2024,PTS+REB+AST,14.5,-117,-143,herbert-jones,Herbert Jones,1630529
71,Herbert Jones,F,3/15/2024,Points,9.5,-139,-122,herbert-jones,Herbert Jones,1630529
72,Herbert Jones,F,3/16/2024,PTS+REB+AST,15.5,-136,-125,herbert-jones,Herbert Jones,1630529
73,Herbert Jones,F,3/16/2024,Blocks,0.5,-129,-130,herbert-jones,Herbert Jones,1630529
74,Herbert Jones,F,3/16/2024,Points,9.5,-125,-134,herbert-jones,Herbert Jones,1630529
75,Herbert Jones,F,3/19/2024,PTS+REB+AST,14.5,-122,-139,herbert-jones,Herbert Jones,1630529
76,Herbert Jones,F,3/19/2024,Points,8.5,-118,-141,herbert-jones,Herbert Jones,1630529
77,Herbert Jones,F,3/19/2024,Rebounds,3.5,-139,-121,herbert-jones,Herbert Jones,1630529
78,Herbert Jones,F,3/19/2024,Blocks,0.5,-152,-112,herbert-jones,Herbert Jones,1630529
79,Herbert Jones,F,3/30/2024,PTS+REB+AST,17.5,-118,-143,herbert-jones,Herbert Jones,1630529
80,Herbert Jones,F,3/30/2024,Rebounds,3.5,-134,-127,herbert-jones,Herbert Jones,1630529
81,Herbert Jones,F,3/30/2024,Points,11.5,-143,-118,herbert-jones,Herbert Jones,1630529
82,Herbert Jones,F,4/3/2024,Points,10.5,-129,-132,herbert-jones,Herbert Jones,1630529
83,Herbert Jones,F,4/3/2024,PTS+REB+AST,17.5,-148,-115,herbert-jones,Herbert Jones,1630529
